model,horizon,feature_set,n_patients,n_test_samples,epochs_trained,fit_seconds,rmse_micro,mae_micro,rmse_macro,mae_macro,rmse_std,mae_std,rmse_ci_lower,rmse_ci_upper,mae_ci_lower,mae_ci_upper
LSTM,30,E1,25,46356,47,1287.4647779464722,14.945882193141026,10.037369728088379,16.493719606151522,11.44772219657898,4.45654941969336,3.2070259533214602,14.835517067192944,18.296381784137314,10.263590754032133,12.717470677852631
LSTM,60,E1,25,46334,28,791.5108230113983,27.784965961758775,19.731319427490234,31.66950649368303,23.33424945831299,8.419192916855017,6.164208143388952,28.526745868497894,34.91351170122847,21.027990317344667,25.749560802459715
