model,horizon,split,rmse,mae,n_train,n_test
Ridge,30,naive_random,17.603702745212352,11.488176345825195,262621,46346
Ridge,30,embargo_temporal,16.152044756150456,11.107873916625977,215841,46356
RandomForest,30,naive_random,16.141932471885863,10.684609329817153,262621,46346
RandomForest,30,embargo_temporal,15.653134346678259,10.601695090707352,215841,46356
Ridge,60,naive_random,30.35682567783356,21.567501068115234,262494,46323
Ridge,60,embargo_temporal,29.048533900652263,20.964872360229492,215588,46334
RandomForest,60,naive_random,28.94045474874932,20.35905861089134,262494,46323
RandomForest,60,embargo_temporal,28.706115217236253,20.546347657718034,215588,46334
